,v1_strategy,v2_strategy,benchmark
2025-06-01,0.006614268047834048,0.006614268047834048,0.004369451941698666
2025-06-02,0.008371436386079845,0.008371436386079845,0.010005953335239504
2025-06-03,-0.006693946275624954,-0.006693946275624954,-0.0014269385725183543
2025-06-04,-0.004496158166049868,-0.004496158166049868,-0.01700838462798242
2025-06-05,-0.053787727629207985,-0.053787727629207985,-0.05420827650421266
2025-06-06,0.025410375873774038,0.025410375873774038,0.032392857768241634
2025-06-07,0.015552802456835805,0.015552802456835805,0.019748753904083396
2025-06-08,0.003585823397985262,0.003585823397985262,0.005579666255871785
2025-06-09,0.05578064909894831,0.05578064909894831,0.042794264883255426
2025-06-10,0.024449116983294918,0.024449116983294918,0.025351362034094636
2025-06-11,-0.017509445650753037,-0.017509445650753037,-0.02169407636005396
2025-06-12,-0.04019605168477865,-0.04019605168477865,-0.04558552120973877
2025-06-13,-0.017658347876146802,-0.017658347876146802,-0.02171466517459387
2025-06-14,-0.016560535674920513,-0.016560535674920513,-0.016746577120269536
2025-06-15,0.02055122031007794,0.02055122031007794,0.01319162018746043
2025-06-16,-0.00112610800392395,-0.00112610800392395,0.006439771567434438
2025-06-17,-0.017662336552594304,-0.017662336552594304,-0.0253773156548308
2025-06-18,-0.00045408394376948236,-0.00045408394376948236,-0.005075053411430641
2025-06-19,0.0006538848991258783,0.0006538848991258783,-0.0029471463679838217
2025-06-20,-0.03513808493632553,-0.03513808493632553,-0.03109540982806226
2025-06-21,-0.030092951784555656,-0.030092951784555656,-0.03234114432115916
2025-06-22,-0.02335765390138215,-0.02335765390138215,-0.023074291431000604
2025-06-23,0.07762548146661077,0.07762548146661077,0.07766057695470091
2025-06-24,0.007630380466630449,0.007630380466630449,0.009489591801079356
2025-06-25,-0.005366310585776227,-0.005366310585776227,-0.013098358586197935
2025-06-26,-0.01200715031718121,-0.01200715031718121,-0.01584410357883156
2025-06-27,0.008971981390017536,0.008971981390017536,0.011484569112954836
2025-06-28,0.022811084302628494,0.022811084302628494,0.018443372666708722
2025-06-29,0.017600068630331624,0.017600068630331624,0.02222337961749199
2025-06-30,-0.0031059264806267226,-0.0031059264806267226,-0.013177606792072383
2025-07-01,-0.020677586546872496,-0.020677586546872496,-0.03450862129378668
2025-07-02,0.039949237981027785,0.039949237981027785,0.0522668431609449
2025-07-03,0.006614345606178757,0.006614345606178757,0.008571063809175307
2025-07-04,-0.020333700740007694,-0.020333700740007694,-0.030337852146128653
2025-07-05,0.002997064620002228,0.002997064620002228,0.003106914430050567
2025-07-06,0.01375614762346126,0.01375614762346126,0.016309435444029997
2025-07-07,-0.007544612595027811,-0.007544612595027811,-0.009511529378098427
2025-07-08,0.011375373056251468,0.011375373056251468,0.018639086140800065
2025-07-09,0.03129115269423173,0.03129115269423173,0.039685973089318524
2025-07-10,0.04432223224568799,0.04432223224568799,0.05678964654310695
2025-07-11,0.006787459011054004,0.006787459011054004,0.014406642271626281
2025-07-12,-0.0038983064663354514,-0.0038983064663354514,-0.006410278667846614
2025-07-13,0.011356117883762007,0.011356117883762007,0.022115910096689898
2025-07-14,0.0051813463581614014,0.0051813463581614014,0.0073093926292321365
2025-07-15,0.008477243256643601,0.008477243256643601,0.01588016210532743
2025-07-16,0.03610507746127737,0.03610507746127737,0.030820718387563867
2025-07-17,0.018116180556278245,0.018116180556278245,0.04933240345906902
2025-07-18,0.007491649355773547,0.007491649355773547,-0.003104775456448927
2025-07-19,0.005678139588603673,0.005678139588603673,0.027045165368434997
2025-07-20,0.024418956306337204,0.024418956306337204,0.025981383354975445
2025-07-21,0.004718570755867457,0.004718570755867457,0.017943719993307686
2025-07-22,0.01440932033555975,0.01440932033555975,0.01716353041898615
2025-07-23,-0.01809373696588723,-0.01809373696588723,-0.06390671197383889
2025-07-24,0.0037868241650624484,0.0037868241650624484,-0.010582577350899094
2025-07-25,0.005879047028331381,0.005879047028331381,0.012459556450945342
2025-07-26,0.005403201892184498,0.005403201892184498,0.0074775184391636116
2025-07-27,0.03716862794318916,0.03716862794318916,0.02922270876781463
2025-07-28,-0.020204234221113615,-0.020204234221113615,-0.04013059229452117
2025-07-29,-0.00641807042053677,-0.00641807042053677,-0.008565436224503287
2025-07-30,-0.003829037199612325,-0.003829037199612325,-0.012086430967860873
2025-07-31,-0.020273358098741458,-0.020273358098741458,-0.029016012325905408
2025-08-01,-0.04224796972004974,-0.04224796972004974,-0.034472376130944046
2025-08-02,-0.04073813726017583,-0.04073813726017583,-0.02571731658854898
2025-08-03,0.04615788138150097,0.04615788138150097,0.03296932132011224
2025-08-04,0.051476447201767396,0.051476447201767396,0.047902679740562816
2025-08-05,-0.03542755584233263,-0.03542755584233263,-0.02887419975351909
2025-08-06,0.015944056206138146,0.015944056206138146,0.014411558075797805
2025-08-07,0.09283453002406183,0.09283453002406183,0.055790915129689395
2025-08-08,0.03073106999757265,0.03073106999757265,0.016372705298331503
2025-08-09,0.049187753155435214,0.049187753155435214,0.022013260667601363
2025-08-10,-0.0022506886059888336,-0.0022506886059888336,0.003265514356714139
2025-08-11,-0.022533526002975278,-0.022533526002975278,-0.02697906781560702
2025-08-12,0.08066094592649227,0.08066094592649227,0.07076351317288168
2025-08-13,0.02021988783757611,0.02021988783757611,0.030508910870313537
2025-08-14,-0.05573326687557326,-0.05573326687557326,-0.045548514084982644
2025-08-15,-0.01922967250958966,-0.01922967250958966,-0.013707903092584118
2025-08-16,0.015933895736055265,0.015933895736055265,0.011992076060106062
2025-08-17,0.046181769666435536,0.046181769666435536,0.026303046132599633
2025-08-18,-0.01403682236266505,-0.01403682236266505,-0.026114496476864417
2025-08-19,-0.07018473089896085,-0.07018473089896085,-0.05438804517462335
2025-08-20,0.0731761219262305,0.0731761219262305,0.05201322766862733
2025-08-21,-0.03989202958828633,-0.03989202958828633,-0.03056809451919439
2025-08-22,0.10072290118612148,0.10072290118612148,0.08989481964514523
2025-08-23,-0.012854241768750198,-0.012854241768750198,-0.003476059384744667
2025-08-24,-0.007767690051090421,-0.007767690051090421,-0.011138731620220567
2025-08-25,-0.07780857505142283,-0.07780857505142283,-0.07292082486329655
2025-08-26,0.04922802753225282,0.04922802753225282,0.038365124477723986
2025-08-27,-0.020847642567787074,-0.020847642567787074,-0.007609320485155458
2025-08-28,0.020294276578218508,0.020294276578218508,0.023190915672837223
2025-08-29,-0.05030277540154596,-0.05030277540154596,-0.04166111049696181
2025-08-30,0.001537395933726963,0.001537395933726963,0.0015935558364667535
2025-08-31,-0.007921888006510206,-0.007921888006510206,-0.010763608579197736
2025-09-01,-0.02098651378553721,-0.02098651378553721,-0.012153395112215084
2025-09-02,0.02999056869835059,0.02999056869835059,0.03351795304703859
2025-09-03,0.013414935974409051,0.013414935974409051,0.01026897663498394
2025-09-04,-0.04084277936804977,-0.04084277936804977,-0.02801092780223181
2025-09-05,0.008464278882071352,0.008464278882071352,0.007955587047065726
2025-09-06,-0.008884011578447981,-0.008884011578447981,-0.003886668312150732
2025-09-07,0.013092844883068647,0.013092844883068647,0.02074196572617855
2025-09-08,0.020872784813193178,0.020872784813193178,0.015337305023280411
2025-09-09,0.00013418121572709532,0.00013418121572709532,0.004651217339167901
2025-09-10,0.017926524793627475,0.017926524793627475,0.0336723743837843
2025-09-11,0.025051784125317944,0.025051784125317944,0.012407722807317757
2025-09-12,0.036628256115902216,0.036628256115902216,0.02521171174929308
2025-09-13,-0.0021258918311855375,-0.0021258918311855375,0.009563015879792127
2025-09-14,-0.028821519497967296,-0.028821519497967296,-0.02274547502369907
2025-09-15,-0.02308887772127906,-0.02308887772127906,-0.015374596209889013
2025-09-16,0.0036439488301762686,0.0036439488301762686,0.013058878476897661
2025-09-17,0.025855267317784682,0.025855267317784682,0.02664852343121188
2025-09-18,0.013344785083512372,0.013344785083512372,0.019653602655783163
2025-09-19,-0.036512644513164196,-0.036512644513164196,-0.029969347908972224
2025-09-20,-0.00018567643713218707,-0.00018567643713218707,0.004053329721425037
2025-09-21,-0.010491856095984832,-0.010491856095984832,-0.006658693475179023
